Description,Category
Rice from market,Food
Yam tubers,Food
Beans for cooking,Food
Spaghetti pack,Food
Ground melon seeds,Food
Sweet potatoes,Food
Millet grain,Food
Fresh pepper,Food
Loaf of bread,Food
Instant noodles,Food
Fresh okra,Food
Goat meat,Food
Frozen fish,Food
Crayfish seasoning,Food
Boiled corn,Food
Green peas,Food
Whole chicken,Food
Turkey wings,Food
Fufu flour,Food
Amala flour,Food
Beef meat,Food
Ripe banana,Food
Fresh onions,Food
Porridge ingredients,Food
Macaroni pasta,Food
Bought rice and beans,Food
Paid for yam,Food
Foodstuff from market,Food
Market groceries,Food
Rice bag purchase,Food
Beans and garri,Food
Lunch ingredients,Food
Dinner supplies,Food
Tomatoes and pepper,Food
Vegetable oil,Food
Palm oil bottle,Food
Sugar pack,Food
Salt seasoning,Food
Curry spice,Food
Thyme spice,Food
Egg crate,Food
Milk sachet,Food
Bread and tea,Food
Breakfast items,Food
Cooking gas refill for kitchen,Food
Rice for party,Food
Chicken for cooking,Food
Fresh fish from market,Food
Goat meat purchase,Food
Snacks and biscuits,Food
Soft drinks,Food
Bottle water pack,Food
Catering ingredients,Food
Semovita flour,Food
Garri bag,Food
Indomie carton,Food
Spices purchase,Food
Pepper soup ingredients,Food
Plantain bunch,Food
Fruits basket,Food
Watermelon,Food
Apple fruit,Food
Orange fruit,Food
Pineapple fruit,Food
Avocado pear,Food
Ice cream,Food
Yoghurt cup,Food
Shawarma meal,Food
Restaurant lunch,Food
Takeout food,Food
Fast food order,Food
Rice takeaway,Food
Suya meat,Food
Bakery bread,Food
Cake for home,Food
Kitchen groceries,Food
Food market shopping,Food
Weekly groceries,Food
Provision store food,Food
Cooking ingredients,Food
Paid house rent,Bills
Electricity payment,Bills
Water rate,Bills
Internet renewal,Bills
Data subscription,Bills
DSTV subscription,Bills
Cable TV payment,Bills
Waste disposal fee,Bills
Security levy,Bills
Maintenance charge,Bills
Estate dues,Bills
Annual tax,Bills
Business tax,Bills
Shop rent renewal,Bills
Office electricity,Bills
Generator servicing fee,Bills
Property tax,Bills
Land documentation,Bills
School fees balance,Bills
Medical invoice,Bills
Hospital charges,Bills
Clinic bill,Bills
Pharmacy bill,Bills
Insurance renewal,Bills
Car insurance,Bills
Health insurance,Bills
Life insurance,Bills
Water board bill,Bills
Electric meter recharge,Bills
Light recharge,Bills
Prepaid meter token,Bills
Utility bill,Bills
Internet bill payment,Bills
WiFi subscription,Bills
Hosting fee,Bills
Domain renewal,Bills
Server cost,Bills
Management dues,Bills
Apartment rent,Bills
Shop lease,Bills
Office lease,Bills
School levy,Bills
PTA levy,Bills
Sanitation levy,Bills
Community levy,Bills
Association dues,Bills
Poultry electricity,Bills
Farm water bill,Bills
Workshop rent,Bills
Studio rent,Bills
Clinic rent,Bills
Estate security fee,Bills
Facility maintenance,Bills
Documentation fee,Bills
Annual dues,Bills
Paid electricity bill,Bills
Water utility payment,Bills
Monthly light bill,Bills
Estate development levy,Bills
Poultry service charge,Bills
Shop utility bill,Bills
Market stall fee,Bills
Annual house rent,Bills
Agent commission,Bills
Medical bill payment,Bills
Management fee,Bills
Insurance premium,Bills
Tax payment,Bills
Land charge,Bills
School tuition,Bills
Estate maintenance,Bills
Office rent,Bills
Hospital invoice,Bills
Plot documentation fee,Bills
Internet subscription,Bills
WiFi renewal,Bills
Mobile data subscription,Bills
Farm electricity payment,Bills
Shop rent payment,Bills
Fuel refill,Transport
Petrol purchase,Transport
Car fuel topup,Transport
Bus ticket,Transport
Taxi fare,Transport
Airport transport,Transport
Flight ticket,Transport
Train ticket,Transport
Boat ride,Transport
Uber ride,Transport
Bolt ride,Transport
Cab to office,Transport
Bus to market,Transport
Transport to school,Transport
Ride to work,Transport
Trip to village,Transport
Travel to Lagos,Transport
Travel to Abuja,Transport
Travel expenses,Transport
Logistics payment,Transport
Dispatch rider,Transport
Delivery fee,Transport
Courier charge,Transport
Shipping fee,Transport
Parking fee,Transport
Toll gate fee,Transport
Vehicle servicing fuel,Transport
Diesel for generator,Transport
Gas refill for car,Transport
Okada ride,Transport
Keke ride,Transport
Shuttle bus,Transport
Road transport,Transport
Interstate bus,Transport
City transport,Transport
Fuel for trip,Transport
Transport allowance,Transport
Movement expenses,Transport
Boat transport,Transport
Car wash,Transport
Engine oil purchase,Transport
Vehicle maintenance fuel,Transport
Fuel for farm,Transport
Ride to church,Transport
Ride to party,Transport
Ride to hospital,Transport
Ride to airport,Transport
Return trip fare,Transport
Daily transport,Transport
Weekly transport,Transport
Commute fare,Transport
Office commute,Transport
School commute,Transport
Market commute,Transport
Evening transport,Transport
Bus to school,Transport
Taxi to church,Transport
Market transport fare,Transport
Fuel for car,Transport
Ride to mosque,Transport
Trip to clinic,Transport
Hospital transport,Transport
Uber in Abuja,Transport
Lagos bus fare,Transport
Port Harcourt taxi,Transport
Calabar trip,Transport
Warri transport,Transport
Hotel ride fare,Transport
Party transport,Transport
Island taxi fare,Transport
Mainland bus fare,Transport
Diesel purchase for vehicle,Transport
Cab ride payment,Transport
Shuttle service,Transport
Tricycle ride,Transport
Bike transport,Transport
Clothes purchase,Shopping
New dress,Shopping
Jeans trouser,Shopping
T-shirt,Shopping
Wristwatch,Shopping
Necklace,Shopping
Earrings,Shopping
Phone case,Shopping
Screen guard,Shopping
Laptop charger,Shopping
USB cable,Shopping
Power bank,Shopping
Bluetooth speaker,Shopping
Headphones,Shopping
Smartphone purchase,Shopping
Tablet device,Shopping
Printer machine,Shopping
Office chair,Shopping
Table purchase,Shopping
Wall clock,Shopping
Curtains,Shopping
Bedsheet,Shopping
Pillow,Shopping
Mattress,Shopping
Sofa cover,Shopping
Cooking pot,Shopping
Frying pan,Shopping
Kitchen utensils,Shopping
Gas cylinder,Shopping
Standing fan,Shopping
Air conditioner,Shopping
Television set,Shopping
Remote control,Shopping
Iron press,Shopping
Extension box,Shopping
Notebook,Shopping
Textbooks,Shopping
School uniform,Shopping
Backpack purchase,Shopping
Hand cream,Shopping
Perfume bottle,Shopping
Body lotion,Shopping
Hair attachment,Shopping
Weave-on,Shopping
Nail polish,Shopping
Face towel,Shopping
Toothbrush,Shopping
Toothpaste,Shopping
Detergent,Shopping
Soap bar,Shopping
Cleaning sponge,Shopping
Broom,Shopping
Mop stick,Shopping
Shopping at mall,Shopping
Market shopping items,Shopping
Body spray item,Shopping
Makeup product,Shopping
Hair cream,Shopping
Laptop bag,Shopping
School backpack,Shopping
Ball pen,Shopping
Leather handbag,Shopping
New shoes,Shopping
Rubber slippers,Shopping
Sandals footwear,Shopping
Face cream,Shopping
Roll-on deodorant,Shopping
Body powder,Shopping
Plastic bucket,Shopping
Kitchen bowl,Shopping
Teddy bear toy,Shopping
Skirt clothing,Shopping
Trouser clothing,Shopping
Gown dress,Shopping
Storage box,Shopping
Sneakers footwear,Shopping
Crocs sandals,Shopping
Black leather shoe,Shopping
White slippers,Shopping
Sent allowance,Others
Gift for friend,Others
Money gift,Others
Charity donation,Others
Offering in church,Others
Tithe payment,Others
Support contribution,Others
Family support money,Others
Emergency support,Others
Wedding gift,Others
Naming ceremony gift,Others
Housewarming gift,Others
Graduation gift,Others
Surprise gift,Others
Transfer to savings,Others
Cash withdrawal,Others
POS withdrawal charge,Others
Bank charges,Others
ATM charge,Others
Service charge,Others
Subscription to app,Others
Online course fee,Others
Exam registration,Others
Application fee,Others
Passport fee,Others
Visa fee,Others
Fine payment,Others
Penalty fee,Others
Settlement payment,Others
Contribution to friend,Others
Shared bill payment,Others
Community support,Others
Party contribution,Others
Festival donation,Others
Relief donation,Others
Birthday contribution,Others
Club dues,Others
Membership fee,Others
Volunteer donation,Others
Event contribution,Others
Meeting contribution,Others
Random expense,Others
Miscellaneous spending,Others
Unexpected expense,Others
Personal support,Others
App subscription,Others
Streaming subscription,Others
Game purchase,Others
Music subscription,Others
Online purchase gift,Others
Digital service fee,Others
Software subscription,Others
Cloud storage payment,Others
Training fee,Others
Workshop fee,Others
Sent money to Sam,Others
Church donation,Others
Birthday gift,Others
Anniversary card,Others
Money transfer,Others
Loan repayment,Others
Ajo contribution,Others
Valentine present,Others
Reunion contribution,Others
Club hosting fee,Others
Football match ticket,Others
Tennis payment,Others
Ribbon purchase,Others
Hiking ticket,Others
Amusement park entry,Others
Push gift,Others
Babysitting payment,Others
Feast contribution,Others
Outreach donation,Others
CDS contribution,Others
Hostel cleanup levy,Others
Lodge sanitation fee,Others
Engagement contribution,Others
Cinema ticket,Others
Wedding card,Others

